Diretor, ator1, ator2, ator3, ator 4, nota
Rawson Marshall Thurber,Vince Vaughn,Christine Taylor,Ben Stiller,Rip Torn,6.7
Ernst Marischka,Johannes Heesters,Hertha Feiler,Josef Meinrad,Sonja Ziemann,6.7
Gézavon Bolváry,Paul Hörbiger,Marte Harell,Will Dohm,Heli Finkenzeller,6.6
Robert Bresson,Christian Patey,Vincent Risterucci,Caroline Lang,Sylvie VandenElsen,7.5
Ago-Endrik Kerge,Elle Kull,Aarne Üksküla,Merle Talvik,Jüri Krjukov,7.7
Veiko Õunpuu,Rain Tolk,Taavi Eelmaa,Juhan Ulfsak,Sulevi Peltola,7.3
John Human,Johnny Acero,Marlon Vasgavi,Margarita Palacio,Oscar Escobar,6.3
Frank Capra,Walter Huston,Pat O'Brien,Kay Johnson,Constance Cummings,7.5
Jim Enright,Tom Byron,Cal Jammer,Eric Price,Sabrina Dawn,6.6
Roman Polanski,Jack MacGowran,Alfie Bass,Jessie Robins,Sharon Tate,7.3
Ahmed Agrama,Bob Papenbrook,Jamie V Johnston,Barry Stigler,Stephen Apostolina,7.7
Richard Fleischer,Eddie Deezen,Wendy Sherman,Rick Overton,Mona Lyden,4.8
Ivan Reitman,Bill Murray,Harvey Atkin,Kate Lynch,Russ Banham,6.2
Martín Rosete,Jamie Bamber,Gonzalo Bouza,llya Konstantin,Kit Lang,8.1
Steven Hilliard Stern,Eric Stoltz,Maryam d'Abo,Bruno Cremer,Mario Adorf,5.5
Frank D. Gilroy,Roy Scheider,Sonia Braga,Jon Polito,Carmine Caridi,5.7
Siva Nageshwara Rao,Jayasudha,Chinna,J.D. Chakravarthi,Paresh Raval,7.1
Danny Deprez,Martje Ceulemans,Ernst Löw,Jonas De Ro,Michael Pas,5.4
John Woo,Richard Ng,Ricky Hui,Angie Chiu,Ying Cheung,6.1
Ryong Wang,Seong-tae Heo,Ju-hie Lee,Min-seok Jang,Lee Kye-Yeong,6.6
Gerard Damiano,Harry Reems,Andrea True,Tina Russell,Marc Stevens,6.2
Doris Dörrie,Billie Zöckler,Uwe Ochsenknecht,Sybille Waury,Fabian Koerner,5.5
Claudio Antonini,Laura Morante,Umberto Morelli,Antonio Catania,Massimo Ciavarro,6.6
San Banarje,Trisha Ray,Mikhail Sebastian,Brice Poisson,Jason XV Bell,7.2
Barbara Ricci,Mario Bosco,Bern Cohen,Kelvin Davis,Vinny De Vingo,7.7
Jing Wong,Ching-Ying Lam,Jing Wong,Sandra Kwan Yue Ng,Chingmy Yau,5.7
Philippe Galland,Sami Bouajila,Sophie Aubry,Martin Lamotte,sabelle Petit-Jacques,6.0
Brad Armstrong,Jessica Drake,Carmen Hart,Jasmine Byrne,Jenaveve Jolie,6.8
Jayaraaj Vijay,ndrans,Jayakumar,Bhagath Baby Manuel,Venu Nariyapuram,3.8
Andrei Blaier,on Bodeanu,Andrei Codarcea,Sandu Sticlaru,on Ulmeni,6.7
James B. Harris,Wesley Snipes,Dennis Hopper,Lolita Davidovich,Viggo Mortensen,4.9
Henri Pachard,Flame,Patricia Kennedy,Tiara,Valhalla,5.3
Philipp (II) Enders,Fahrusha,Philipp Enders,Michael Brand-Bam,Daniela Bette,7.5
Bigas Luna,Javier Bardem,Maria de Medeiros,Maribel Verdú,Elisa Tovati,6.2
Kenji Mizoguchi,Kasuke Koizumi,Kan'ichi Tani,Midori Komatsu,Matsuko Senoo,7.6
Pip Brain,Clive Allen,Jim Beglin,Ned Boulting,Gabriel Clarke,6.0
Kristoffer Metcalfe,Kåre Hedebrant,Harald William Borg Weedon,Eira Stuedahl,sak Nikolai veland Solli,5.0
Antonio A. Farré,Claudio Abbado,Carlos Bernabé,José Carreras,Plácido Domingo,8.7
Lloyd Kaufman,Jim Harris,Jennifer Hetrick,Rick Gitlin,Helen Campitelli,4.2
Miklós Lente,Foster Brooks,Mike MacDonald,Konnie Krome,Milan Cheylov,4.9
Even Hafnor,Alexander de Senger,Arne Vilhelm Tellefsen,Line Marie Østerhus,Delia Borcoman,7.8
Donald (II) Bull,Senta Moses Mikan,David Allen Brooks,Matt Price,Cece Tsou,5.8
Drew (II) Morris,Vince DeGaetano,Aaron Fronk,Jake Andrews,Cooper Johnson,3.2
Katie Teague,Marga Laube,Lynne Twist,Vandana Shiva,Orland Bishop,7.5
Ger Poppelaars,Frits Lambrechts,Marjolein Meijers,Cees Geel,Dimme Treurniet,7.8
Alfonso Rodríguez,Luis Jose Lopez,Hemky Madera,Marlene Favela,Marcos Bonetti,4.9
Art (II) Jones,John V Wolfe,Tom Oppenheim,Gregory Wolfe,James Wolfe,6.3
Ray Etheridge,William Charles Bresch,Lucas Bush,Patrick Campion,Gilbert Cannatella,3.8
Petr Nikolaev,Filip Brezina,Jakub Burýsek,Hynek Cermák,Filip Dvorák,4.1
Dan Consiglio,Larry Joe Campbell,Keegan-Michael Key,Johnny Ray Meeks,Danny McCarthy,8.7
Brad Armstrong,Brad Armstrong,Ryan Driller,Erik Everhard,Seth Gamble,8.2
Inon Shampanier,Shawn Reaves,Howard S. Miller,Joe Kaprielian,Sadie Alexandru,8.3
Toon Wang,Han-Ya Liu,Kuei-Mei Yang,Matthew Yen-Shen Tsai,Chia-chia Peng,5.2
Denis Dercourt,Vincent Perez,Jérémie Renier,Aurélien Recoing,Anne Marivin,6.7
Elizabeth Spear,James Teems,Starina Johnson,John Merriman,Shawn Kohne,8.6
Nicholas Tucker,Mark Hefti,Adam Lucas Smith,Mark E. Allen,Rachel London,9.4
Erle C. Kenton,Bud Abbott,Lou Costello,Grace McDonald,Cecil Kellaway,7.6
Mark Punt,Wim Opbrouck,Peter Van den Begin,Jonas Van Geel,Nathalie Meskens,5.8
Kari Skogland,Vanessa V Williams,Gil Bellows,Karen V Williams,Lisa Bronwyn Moore,6.3
Daniele Ciprì,Sergio Castellitto,Rocco Papaleo,Valeria Bruni Tedeschi,Jacopo Cullin,5.7
Paul Andresen,Violent J,Shaggy 2 Dope,Krista Kalmus,Lindsay Anne Hugghins,7.2
Ryan Richmond,Terri Abney,Aunjanue Ellis,James Whalen,Victoria V Wallace,6.4
Sam Newfield,Hugh Beaumont,Frances Rafferty,Harlan Warde,Cecil Weston,6.4
John Sjogren,Chad McQueen,Don Swayze,Joe Estevez,Sydney Lassick,5.2
Brad Armstrong,Brad Armstrong,Johnny Castle,Tommy Gunn,Jerry V,8.2
Michael Fredianelli,Ray Medved, Marcus D. Spencer,Steve Budd,Zoe Winter,7.6
D.P. Carlson,Michael Leo Pomeranz,Jessica Szohr,Kevin Chevalia,Will Malnati,9.2
Robert Michael Lewis,E.G. Marshall,Mildred Natwick,Alejandro Rey,Cleavon Little,7.4
William S. Hart,William S. Hart,Jane Novak,Herschel Mayall,Winter Hall,4.8
Joseph M. Newman,Alan Dinehart,Paul Guilfoyle,John Butler,Addison Richards,6.6
Jules White,Andy Clyde,Shemp Howard,Vernon Dent,Lynton Brent,6.7
Virginia L. Stone,Jack Kruschen,Meegan King,David Wallace,Phillip Pine,6.4
Roger Mende,David Carradine,Camille Solari,Michael Madsen,Matthew Arthur,6.1
Mihalis Kakogiannis,Katharine Hepburn,Vanessa Redgrave,Geneviève Bujold,rene Papas,7.1
Alfred Hitchcock,Carole Lombard,Robert Montgomery,Gene Raymond,Jack Carson,6.5
Ludwig Berger,Renate Müller,Willy Fritsch,Paul Hörbiger,Anton Walbrook,6.9
Jacques Tourneur,Keith Larsen,Buddy Ebsen,Don Burnett,Lisa Gaye,5.1
Steven Spielberg,Tom Cruise,Dakota Fanning,Miranda Otto,Jusin Chatwin,6.5
Juan Piquer Simón,Pierre Oudrey,Carole James,Frank Braña,Mariano Vidal Molina,5.0
Roger Spottiswoode,Matthew Modine,Alan Alda,Patrick Bauchau,Nathalie Baye,7.8
Byron Haskin,Gene Barry,Ann Robinson,Les Tremayne,Robert Cornthwaite,7.2
David Greene,David Soul,Brian Keith,Cathy Lee Crosby,Jeroen Krabbé,6.6
William A. Seiter,Fred MacMurray,Claire Trevor,Raymond Burr,José Torvay,6.1
Jun Fukuda,Kensaku Morita,Yûko Asano,Ryô kebe,Masaya Oki,5.0
Joaquim Pedro de Andrade,Lima Duarte,Joffre Soares,Carmem Silva,Carlos Gregório,6.9
Pedro Caldas,Francisco Belard,Maria Leite,Catarina Wall,Pedro M. Ruivo,6.4
Nikos Papatakis, Olga Karlatos, Roland Bertin, Philippe Adrien, Mehmet Ulusoy,6.6
Piotr Szulkin,Roman Wilhelmi,Krystyna Janda,Mariusz Dmochowski,Jerzy Stuhr,7.1
Roy Del Ruth,Warren William,Loretta Young,Wallace Ford,Alice White,7.3
Jim Reynolds,Moana Pozzi,lona Staller,Miss Pomodoro,dò Haver,7.0
Luigi Acquisto,rim Tolentino,Augusta Soares,José da Costa,Osme Gonsalves,6.3
Rafael Gil,Claude Laydu,Francisco Rabal,José Marco Davó,Fernando Sancho,7.1
William Nigh,Anna May Wong,Harold Huber,Mae Clarke,Rick Vallin,5.7
Brian De Palma,Tom Cruise,Jon Voight,Emmanuelle Béart,Henry Czerny,7.1
Brad Bird,Tom Cruise,Paula Patton,Simon Pegg,Jeremy Renner,7.4
J.J. Abrams,Tom Cruise,Philip Seymour Hoffman,Ving Rhames,Billy Crudup,6.9
