Diretor, ator1, ator2, ator3, ator 4, nota
Michael Mazo,Thomas an Griffith,Nastassja Kinski,Christopher Plummer,George Touliatos,4.4
Stephen Hopkins,Jeff Bridges,Tommy Lee Jones,Suzy Amis,Lloyd Bridges,6.2
John Hughes,Anthony Michael Hall,Kelly LeBrock,lan Mitchell-Smith,Bill Paxton,6.6
Ricardo Bauleo,Ricardo Bauleo,Victor Bo,Julio De Grazia,Thelma Stefani,3.9
Timothy (III) Bond,Patrick Bergin,Désirée Nosbusch,Dan Petronijevic,Nina Muschallik,4.7
Louis J. Gasnier,Sally Rand,Esther Muir,Vince Barnett,Paul Sutton,4.7
Gustavo Graef Marino,Peter Weller,Daryl Hannah,Tom Berenger,Adrian Pintea,3.9
Frank McDonald,Chester Morris,Jean Parker,Barry Sullivan,Ralph Sanford,6.0
Frank Tashlin,Tony Randall,Jayne Mansfield,Betsy Drake,Joan Blondell,7.2
Chuck Martinez,Barbara Harris,Michelle Meyrink,William O'Leary,Wallace Shawn,5.8
Christian Stengel,Arletty,Raymond Bussières,Marthe Mercadier,Robert Vattier,6.5
Mircea Dragan,Radu Beligan,Gheorghe Dinica,Toma Caragiu,Dem Radulescu,6.3
José Gutiérrez Maesso,Helmut Berger,Sydne Rome,Kevin McCarthy,José María Caffarel,4.8
Isidro Ortiz,Lucía Jiménez,Juan X Fernández,Andoni Gracia,Paul Berrondo,5.3
Gilberto de Anda,Mario Almada,Adalberto Arvizu,Agustín Bernal,José Chávez,5.5
Félix Rotaeta,Antonio Banderas,Mathieu Carrière,Victoria Abril,Vicky Peña,5.6
Harry Horner,Ricardo Montalban,Anne Bancroft,Lee Marvin,José V Pérez,6.5
Rick King,Sasha Mitchell,Dennis Chan,Richard Comar,Noah Verduzco,3.8
José Antonio de la Loma,Margaux Hemingway,Lee Van Cleef,Jorge Rivero,Willie Aames,5.3
Carlos Azpúrua,Amalia Pérez Díaz,Jean Carlo Simancas,Daniel Alvarado,Flor Núñez,6.7
Antonio Isasi-Isasmendi,Karl Malden,Olivia Hussey,Christopher Mitchum,Raf Vallone,6.5
B.N. Reddi,Chittor V. Nagaiah,Kanchanamala,Mudigonda Lingamurthy,Kalyani,8.0
Chano Urueta,Sara García,Emilio Tuero,Carmen Montejo,Rafael Baledón,6.8
Miguel Contreras Torres,Ramón Pereda,Adriana Lamar,Alberto O'Farril,Estela Segarra,6.3
Joe Johnston,Chris V Evans,Hayley Atwell,Sebastian Stan,Tommy Lee Jones,6.8
Albert Pyun,Matt Salinger,Ronny Cox,Ned Beatty,Darren McGavin,3.3
Anthony (II) Russo,Chris V Evans,Samuel L. Jackson,Scarlett Johansson,Robert Redford,7.8
Brian De Palma,Jonathan Warden,Robert De Niro,Gerrit Graham,Richard Hamilton,5.8
Anthony (II) Russo,Chris V Evans,Robert Downey Jr.,Scarlett Johansson,Sebastian Stan,8.5
Frank Ciota,Eddie Malavarca,Maurizio Nichetti,Violante Placido,Nathaniel Marston,7.4
Jan Schütte,Aleksander Bardini,Ya'ackov Bodo,Jeffrey Feingold,Manny Jacobowitz,6.8
Rod Holcomb,Reb Brown,Len Birman,Heather Menzies-Urich,Robin Mattson,3.8
Elmer Clifton,Dick Purcell,Lorna Gray,Lionel Atwill,Charles Trowbridge,6.1
Robert Altman,Marylouise Burke,Woody Harrelson,L.Q. Jones,Tommy Lee Jones,6.9
John Landis,Eddie Murphy,Arsenio Hall,James Earl Jones,John Amos,6.9
Roger Spottiswoode,Mel Gibson,Robert Downey Jr.,Nancy Travis,Ken Jenkins,5.7
Trey Parker,Trey Parker,Matt Stone,Kristen Miller,Daran Norris,7.2
Jim Sheridan,Paddy Considine,Samantha Morton,Sarah Bolger,Emma Bolger,7.8
Christopher Showerman,Jacob Motsinger,Christopher Alice,Kristi Engelmann,Wayne Bastrup,4.4
Roy Del Ruth,Doris Day,Gordon MacRae,Jack Smith,Leon Ames,7.1
Peter Bogdanovich,Ryan O'Neal,Burt Reynolds,Tatum O'Neal,Brian Keith,6.3
Uwe Boll,Jürgen Prochnow,Michael Paré,Patrick Muldoon,Kett Turton,4.1
Anton Corbijn,George Clooney,rina Björklund,Lars Hjelm,Björn Granath,6.3
Aleksandr Dovzhenko,Nikolai Gritsenko,Grigori Kirillov,Janis Osis,Grigoriy Shpigel,6.5
Wim Wenders,Dennis Hopper,Bruno Ganz,Lisa Kreuzer,Gérard Blain,7.4
Ilo Orleans,Cristo Cabrera,Paul Caster,Julian Cordova,Rory Cosgrove,5.4
Duncan Tucker,Andrea James,Felicity Huffman,Danny Burstein,Maurice Orozco,7.5
Joel Schumacher,Max Gail,Adam Baldwin,Mr. T,Charlie Barnett,5.3
Keir Politz,Christian Carbajal,Tobi Kanter,Mark Konrad,Chris LaPanta,7.9
Hal Roach,Brian Aherne,Victor McLaglen,Paul Lukas,June Lang,6.2
Gábor Herendi,Tibor Szervét,Csaba Pindroch,Gyözö Szabó,Eszter Ónodi,7.1
Robert (V) Fontaine,Robert V Fontaine,Michael Brainard,Grant Boyd,Michael Derek,7.8
Denis Delestrac,George W. Bush,Kevin Chilton,Noam Chomsky,Joseph Cirincione,7.1
Ron de Moraes,Jason Alexander,Jack Black,Dana Carvey,Larry David,5.7
Alan J. Levi,James Avery,Andre Braugher,George Clooney,Fran Drescher,4.6
Marco Kreuzpaintner,Kevin Kline,Cesar Ramos,Alicja Bachleda,Paulina Gaitan,7.5
Romano Vanderbes,Doug Ballard,Lydia Mahan,Wayne Knight,Kate Weiman,4.4
Param Gill,Eddie Griffin,Josh Meyers,Najarra Townsend,Mindy Robinson,7.6
Richard Benjamin,Whoopi Goldberg,Ted Danson,Will Smith,Nia Long,4.9
Fred Ashman,Michael G. Davis,Jonathan Banks,Jon Jon Briones,Ryan Christiansen,1.1
Jesse (XIII) Clark,Kerry Blouin,Damon Calderwood,Kayvon Kelly,Heather Doerksen,6.8
Shinji Aramaki,Arata Furuta,Adam Gibbs,Kiyoshi Kobayashi,David Matranga,6.5
Enrique Amberg,Dominique Harris,Jerry V Butler,Adam X Green,Robert XV Wilson,5.5
Cecília Amado,Jean Luis Amorim,Ana Graciela,Roberio Lima,srael Gouvea,6.3
Lee Citron,Dominic Conti,David Josh Lawrence,Ron V McPherson,Ted Ferguson,8.8
Martin Scorsese,Steven Prince,Martin Scorsese,George Memmoli,Mardik Martin,7.6
Ernest R. Dickerson,Josh Charles,Brandon Hammond,Serena Lee,Roderick Pannell,7.2
Jeremy Make,Edward Albee,Pete Holmes,Samuel D. Hunter,Jeremy Make,9.2
William Dear,Jonathan Taylor Thomas,Devon Sawa,Scott Bairstow,Frances Fisher,6.3
Flavio Alves,Burt Young,Sally Kirkland,Jacques Mitchell,Alex Kruz,8.3
Elia Kazan,Stathis Giallelis,Frank Wolff,Harry Davis,Elena Karam,7.9
Michael (II) Moore,Michael Moore,Eddie Vedder,Robert Ellis Orrall,Steve Earle,5.3
Orson Welles,Joseph Cotten,Dorothy Comingore,Agnes Moorehead,Ruth Warrick,8.4
Péter Gothár,Andor Lukáts,Trula Hoosier,Stafford Ashani,Erika Bodnár,7.2
Lana Wachowski,Keanu Reeves,Laurence Fishburne,Carrie-Anne Moss,Hugo Weaving,8.7
Peter Chung,Clayton Watson,Akio Ôtsuka,Terrence 'T.C.' Carson,Dane A. Davis,7.4
Cory Udler,Blade Braxton,Michael Eauslin,Joe Hollow,Greg XXX Johnson,6.3
Victor Sjöström,Jenny Hasselqvist,van Hedqvist,Tore Svennberg,Gösta Ekman,6.8
Lana Wachowski,Ray Anthony,Christine Anu,Andy Arness,Alima Ashton-Sheibu,7.2
Lana Wachowski,Mary Alice,Tanveer K. Atwal,Helmut Bakaitis,Kate Beahan,6.7
Jeff Axtman,Dale Bradrick,Kate V Russell,Angela M. Grillo,Mindy Byram,7.0
Mark (XII) Brennan,Paul F. Taylor,Lauren Shotton,Peter X Bradley,Jenny V Mitchell,7.7
Paul (II) Verhoeven,Franziska Kinz,Ferdinand Marian,Maria Landrock,Klaus Detlef Sierck,6.2
Mikio Hirota,Beau Billingslea,Steve Cassling,Neil Kaplan,Dave Mallow,4.5
Nick Orleans,Jill Kelly,Salena Del Ray,Taylor St. Clair,Chennin Blanc,6.7
Hua-Tao Teng,Leon Lai,Rene Liu,Bingbing Fan,Songzi Xu,5.6
Harry Edwards,Curly Howard,Larry Fine,Moe Howard,Marjorie Deanne,7.5
Cristina Comencini,Diego Abatantuono,Francesca Neri,Stefania Sandrelli,Claude Brasseur,6.1
Gustaf Molander,Lil Dagover,Gösta Ekman,Karin Swanström,Håkan Westergren,6.1
Viola Folador,Vittorio Carotenuto,Chicco Colombo,Luigi La Marca,Mattia Migliarino,9.9
Eric Chisholm,Stephany Acosta,Stephen Boone,Morgan Mishelle Boutilier,Mikayla Childs,2.6
Jian Hong Kuo,Genevieve O'Reilly,Luoyong Wang,Kay Siu Lim,David Warner,4.6
Timur Bekmambetov,Karen McDougal,Lisa Dergan,Olga Sutulova,Yuliya Chicherina,2.7
Lyudmil Kirkov,Nevena Kokanova,Katya Paskaleva,Katya Chukova,Milka Tuykova,7.6
Carlos Jaureguialzo,Cecilia Roth,Darío Grandinetti,Manuel Vicente,Rafael Spregelburd,5.7
Guillaume Pierret,Catherine Badet-Corniou,Adrien Bienvenu,Fabrice Delorme,Damien Leconte,6.9
Nikos Kornilios,Katerina Aggelaki-Rouk,Evelina Arapidou,Eirini Asimakopoulou,Alexandra Balomenou,8.1
Jeremy Freeston,Lucy Lawless,Cecily Fay,Amanda Turner,Emily Hollins,7.8
David Aaron Clark,Michael Stefano,Van Damage,Annabel Chong,Jade-Blue Eclipse,7.7
Val Guest,Laurence Harvey,Sylvia Syms,Yolande Donlan,Cliff Richard,6.2
J. Lee Thompson,Kenneth More,Lauren Bacall,Herbert Lom,Wilfrid Hyde-White,7.2
Eldar Shengelaia,Zura Kipshidze,Nana Shonia,Mikheil Vashadze,Maka Makharadze,8.4
Francisco Rovira Beleta,Jorge Mistral,Marisa de Leza,Mara Berni,Vicente Parra,7.3
Mariano Ozores,Alfredo Landa,sabel Garcés,Paca Gabaldón,Antonio Ozores,4.4
Kevin Powis,Norman Wisdom,Geoffrey Hughes,Don Warrington,sabelle Waring,5.9
Stephan Parent,Alexis Barbe,David Batani,François Beaulieu,Jules Hubert Beaulieu,7.7
István György,lona Dajbukát,László Perényi,Lili Berky,Gyula Gózon,7.4
Gonçalo Galvão Teles,Filipe Duarte,Beatriz Batarda,Adriano Luz,Albano Jerónimo,6.0
Christopher Nolan,Ellen Burstyn,Matthew McConaughey,Mackenzie Foy,John Lithgow,8.6
George Lucas,Mark Hamill,Harrison Ford,Carrie Fisher,Peter Cushing,8.7
George (II) Miller,Mel Gibson,Joanne Samuel,Hugh Keays-Byrne,Steve Bisley,7.0
Federico Fellini,Sergio Rubini,Antonella Ponziani,Maurizio Mein,Paola Liguori,7.1
Marc-Andre Samson,Shiloh Fernandez,Chase Mallen,Joseph Benz,Walter Peña,3.9
Mike Marvin,Charlie Sheen,Nick Cassavetes,Sherilyn Fenn,Randy Quaid,5.9
Sydney Pollack,Nicole Kidman,Sean Penn,Catherine Keener,Jesper Christensen,6.4
Corneliu Porumboiu,Dragos Bucur,Vlad vanov,on Stoica,rina Saulescu,7.1
Brad Osborne,Jeffrey Schmidt,Bill Flynn,Jennifer Holland,Christopher Sabat,8.3
Camille Stochitch,Gina Rodriguez,Benny Nieves,Max Arciniega,Roberto Montesinos,7.9
Nuri Bilge Ceylan,Haluk Bilginer,Melisa Sözen,Demet Akbag,Ayberk Pekcan,8.3
Konstantin Maksimov,gor Petrenko,Lyubov Tolkalina,Aleksandr Baluev,Vladimir Vdovichenkov,3.8
Michael Cohn,Jürgen Prochnow,Andrew Divoff,Elizabeth Morehead,J. Kenneth Campbell,4.9
Christopher Thies,Tim R. Morgan,Mike Magri,Charles Majka,Bob Harlow,5.4
Johannes Schmid,Nina Monka,Ursula Werner,Leon Seidel,Dominik Nowak,6.9
Akiva Goldsman,Colin Farrell,Matt Bomer,Lucy Griffiths,Michael X Crane,6.2
Eberhard Fechner,Ulrich von Dobschütz,Hans Christian Blech,Katharina Thalbach,Henning Schlüter,5.1
Linus Lau,E. Myles Geller,Genie Kim,Deborah Ostrowsky,Peter De Leal,6.9
Jamil Nelson,Richard Baderinwa,Marc Bushelle,Derek Caldwell,Bryant Cook,6.5
Andrew Bellware,Daryl Boling,Kathleen Kwan,Don Arrup,James Edward Becton,2.9
Bob Gale,Matthew Edison,Paul Brogren,Wayne Robson,Gary Oldman,7.7
Phillip J. Roth,Olivier Gruner,Brad Dourif,Ernie Hudson,William Zabka,3.9
Fred Zinnemann,Pier Angeli,John Ericson,Patricia Collinge,Richard Bishop,6.5
Alfred Santell,Burgess Meredith,Margo,Eduardo Ciannelli,John Carradine,6.3
George McCowan,Bruce Armstrong,Eric Cryderman,Don V Allen,Kay Hawtrey,5.8
Sonja Wyss,Gerda Zangger,Sandra Utzinger,Brigitta Weber,Katalin Liptak,6.5
Dino Risi,Serena Grandi,Luca Barbareschi,Eros Pagni,Flora Carosello,4.8
Paul Verhoeven,Jon Bluming,Bernard Droog,Peter Faber,Wim Zomer,7.0
Kevin Hooks,Austin Butler,Nolan Gerard Funk,Danielle Panabaker,Chloe Bennet,7.4
Jorge (II) Dorado,Marian Álvarez,David Luque,Carla Díaz,Yara Capa,7.3
Alfredo B. Crevenna,Maricruz Olivier,Fernando Rey,Beatriz Aguirre,Luis Beristáin,7.4
Miranda Pennell,Hannu Kari,Jaakko Niemelä,Heikki Roukangas,Wilma Alanen,6.7
András Kovács M.,Mihály Szabados,Lili Bordán,Áron Beczásy,rén Bordán,7.7
Andrew Paul Davis,Todd Bruno,Timothy Mark Davis,Matt Schieffer,Emily Frazier,8.1
Yuriy Kara,Natalya vanova-Fenkina,Nikolay Kochegarov,gor Lagutin,Sergey Nikonenko,8.0
Gérard Vergez,Suzanne Flon,Anne Doat,Robert Rimbaud,Pierre Richard,5.6
Lloyd A. Simandl,Wendy Crewson,Patrick Bergin,Peter Outerbridge,Michelle Beaudoin,3.7
Dave Thomas,Dan Aykroyd,Lynda Boyd,Christine Chatelain,Maury Chaykin,5.6
Robert Glinski,Aleksandra Gietner,Karolina Sobczak,Zbigniew Zamachowski,Malgorzata Rozniatowska,7.3
Ross Partridge,Kevin Dillon,John Littlefield,John Doman,Megan Dodds,5.0
Gennadi Poloka,Vladimir Vysotskiy,Yuliya Burygina,Yuriy Tolubeev,Yefim Kopelyan,6.8
Dan Kwan,Bryan Condon,Ani Raya-Flores,Waymond Lee,Rosa Handelman,8.0
Tom Tykwer,Ulrich Matthes,Marie-Lou Sellem,Heino Ferch,Floriane Daniel,7.3
Eckhart Schmidt,Annett Culp,Scott Trost,Harmony Smith,Kelly Taffe,3.3
Jacques Besnard,Louis de Funès,Bernard Blier,Maria-Rosa Rodriguez,Venantino Venantini,6.8
John Brahm,Sonja Henie,Jack Oakie,Cesar Romero,Carole Landis,6.7
Antonio Eguino,Luis V Aldana,Eddy Bravo,Germán Calderón,Daniel del Castillo,5.7
Jacques Nolot,Mathilde Moné,Henri Gardey,Jacques Nolot,Christian Sempe,6.8
Christopher Dorrah,Clifton Powell,Chrystale Wilson,Leslie V Black,Tahiry Jose,6.9
Antonio Capuano,Licia Maglietta,Carlo Cecchi,Toni Servillo,Antonino uorio,6.9
Visa Koiso-Kanttila,Kalle Koiso-Kanttila,Roland Hermann,Tom Krause,Renate Ackermann,4.7
Nick Hiltgen,Tyler Case,Toliver Crisp,Tim Habeger,Davon Stuart,7.9
Rafael Gordon,sabel Ordaz,Assumpta Serna,Amparo Valle,Ana José Bóveda,7.4
Matthias Günter,Andy Herzog,Katarina Schroeter,Sophie Hutter,Susann Rüdlinger,7.0
Dick Tuinder,Marcel Faber,Michiel Huisman,Tom Jansen,Aryan Kaganof,5.3
Pier Francesco Pingitore,Stefano Antonucci,Tomas Arana,Enzo Cannavale,Lorenzo Flaherty,5.2
Ken Caslis,Andy Holt,Alison Haislip,Leandro Cano,Christie Philips,4.6
Miklós Jancsó,Éva Ruttkai,Miklós Gábor,Lajos Básti,stván Velenczei,7.6
Douglas Ray,Matt Berry,Andrew Hawley,Paul Hilton,James Lance,9.7
Robert (V) Ford,Chris Jack,Tom Sharkey,Gina Lamb,Claire Lever,7.7
Tony Goldwyn,Famke Janssen,Dorian Missick,Xander Berkeley,Sarah Clarke,8.2
Rene Damberg,Dennis Madaus,Moloch,Maya Klein,Rene Damberg,6.6
Mark L. Lester,Daniel Baldwin,Coolio,Alex McArthur,Jenya Lano,4.2
Sergio Esquenazi,Santiago Pedrero,Sandra Ballesteros,Ana Cuerdo,Diego Alonso Gómez,4.2
François Bouvier,Joël Dalpé-Drapeau,Patrick Thomas,Mathieu Beaumier,Maude Gionet,7.1
Chance Shirley,Cary Borders,David XCV Brown,James H. Brown,Damon Carter,4.6
Mauricio Novelo,Tadao Andô,Naoya Hatakeyama,Natsu Nakajima,Makoto Aida,8.4
Stanko Crnobrnja,Roger Moore,Justin Fried,Dragana Marjanovic,Pavle Bojkovski,6.5
Claude Goddard,Jamie Gillis,Susan V Sloan,Mickey Humm,Jennifer V Jordan,6.5
Dave (II) Edwards,Will Brenton,Mark Kingston,Phil Rowlands,John Rye,8.1
Robert Scali,Lenny Clarke,Patty Ross,Tony V.,Frank Santorelli,7.7
Mike Lemcke,Miaken Kristola,Jordan Scovel,Liam Toner,Grant Lyon,7.4
Gregorio Cramer,Ricardo Bartis,Gabriel Correa,Miguel Guerberof,Luis Ziembrowski,7.7
Hamilton McLeod,an Veneracion,Raymond Bagatsing,Simon barra,Miguel V Moreno,4.9
Herb Stein,Jason Brooks,Bryan Dattilo,van G'Vera,Robert Kelker-Kelly,7.4
Rion Kujô,Cam Clarke,Kenji Makabe,Kôki Miyata,Mitch Rose,6.3
Inx B. Incubury,Reza Abolmolouk,Bradley Cherry,John Liao,Aaron Licht,6.4
Gore Verbinski,Johnny Depp,Geoffrey Rush,Orlando Bloom,Keira Knightley,8.1
Gore Verbinski,Johnny Depp,Orlando Bloom,Keira Knightley,Jack Davenport,7.3
Gore Verbinski,Johnny Depp,Geoffrey Rush,Orlando Bloom,Keira Knightley,7.1
Giuseppe Maria Scotese,Louis Hayward,Binnie Barnes,Mariella Lotti,Massimo Serato,6.5
Colin Eggleston,John Hargreaves,Meredith Phillips,Max Phipps,Bill Hunter,4.1
Jan Rahbek,Toke Lars Bjarke,Jess ngerslev,Tom Jensen,Thomas Borch Nielsen,4.1
Howard Bretherton,Tim Holt,Cliff Edwards,Nell O'Day,John Elliott,6.1
Seymore Butts,Seymore Butts,Kurt Lockwood,Tee Reel,Herschel Savage,7.5
Fernando Colomo,Ana Belén,Santiago Ramos,Juan Echanove,Chus Lampreave,5.6
Felix E. Feist,Paul Henreid,Patricia Medina,Paul Newlan,John Miljan,5.1
Teresa Lampréia,Rafael Almeida,Gésio Amadeu,Cacá Amaral,Lorenzoi Aprouch,5.8
John Guillermin,Charlton Heston,Yvette Mimieux,James Brolin,Claude Akins,5.6
William Beaudine,Ralph Byrd,Carol Hughes,Jack Mulhall,Julie Duncan,5.8
Raoul Walsh,Robert Newton,Linda Darnell,William Bendix,Keith Andes,6.1
Spencer Gordon Bennet,Kane Richmond,Kay Aldridge,Roy Barcroft,Clancy Cooper,7.5
Gottfried Reinhardt,O.W. Fischer,Sonja Ziemann,Peter van Eyck,Christian Wolff,5.4
Kevin Connor,Angus Macfadyen,Mark Umbers,Richard Chamberlain,Jessica Chastain,5.7
Lamberto Bava,Mario Adorf,Anna Falchi,Jennifer Nitsch,Nicholas Rogers,8.2
Darren Lemke,Dean Cain,Ashley Scott,Danny Trejo,rina Björklund,6.0
Guy Green,David Farrar,David Knight,Julia Arnall,Anthony Oliver,6.4
Al Adamson,Sandra Dee,Gary Kent,Jack Elam,Ken Curtis,5.5
Marcel Visbeen,Ricky Koole,Martijn Nieuwerf,Anke Engels,Romijn Conen,7.2
Zachary Rothman,Milt Bruchanski,Ron V Moore,Julie Adams,Onalee Ames,7.6
Jo Kennedy,Firass Dirani,Woody Miles,Robert Myon,an Scott,5.8
Fred Toye,Bodhi Elfman,Michelle Stafford,Scarlett Chorvat,Michael Cornacchia,7.1
Barry Hecker,Brian X Grant,Andrew MacBean,Matthew Stollery,Julie Adams,7.3
Kathryn Annelle,Justine Joli,Claire V Adams,Syd Blakovich,Kimberly Kane,7.9
Antti Tolonen,Jussi Ala-Karvia,Juho Laitinen,Ari Savonen,Annastiina Gylling,8.2
Katherine Makinney,Julian Garcia,Joel David Moore,Ron Truppa,Steve Yager,8.1
Robin Forrest,Paul X Goldsmith,Sally Campion-Jones,Terry Molloy,Greg Lindsey-Smith,7.0
Peter Rowe,Kenneth Welsh,Helen Shaver,Michael Hogan,Charles Jolliffe,6.4
Bettina Eberhard,Ulrike Schwab,Till Firit,Klaus Heindl,Stefan Lampadius,6.7
Chris Sivertson,Marc Senter,Shay Astar,Alex Frost,Megan Henning,6.1
Bryan Goeres,Armand Assante,Dina Meyer,Lacey Chabert,Sergi Mateu,6.0
Tara Miele,Josh Burrow,Jacob Buster,Robert Carbo,Feodor Chin,4.7
Neil (IX) Jones,Stuart Brennan,Joe Daniels,Ed Eales White,Grainne Joughin,6.7
Ivo Trajkov,Karel Zima,Madla Zimová,Klára Melísková,Miroslav Táborský,8.8
Dwight (V) Thompson,Skip Heitzig,Wayne V Hill,Christopher Laurie,Greg Laurie,9.3
Kaneto Shindô,Hideo Kanze,Nobuko Otowa,Eimei Esumi,Daigo Kusano,7.0
Edward L. Cahn,Leo Carrillo,Noah Beery,Mary Brian,Russell Gleason,7.3
Francis Yamoah,Ede Aigbe,Lewes Barnett,Kassidy Chaplin,Joshua Kelly,7.1
Mohammad Ali Sajjadi,Bijan Emkanian,Hamid Taati,Valiyollah Shirandami,Ali Shoa'i,5.8
David Feiss,Phil LaMarr,Mary Gross,Tom Kenny,Dee Bradley Baker,7.4
Christian Sesma,Rochelle Vallese,Luke Goss,Robert Davi,Derek Mears,2.8
David Petrucci,Danny Trejo,Mischa Barton,Michael Madsen,Daniel Baldwin,3.9
Dino Risi,Vittorio Gassman,Catherine Deneuve,Danilo Mattei,Anicée Alvina,7.1
Chad Archibald,Ry Barrett,Emily Alatalo,Jennifer Polansky,Samuel Borstein,5.1
Mong-Hong Chung,Yu Wang,Hsiao-chuan Chang,Shih-Chieh Chin,Leon Dai,6.4
Marcus Nash,Ezra Buzzington,Katie Keene,John Shartzer,Pat McNeely,3.4
Harry Revier,William 'Stage' Boyd,Kane Richmond,Claudia Dell,Josef Swickard,5.1
Franco Battiato,Corrado Fortuna,Donatella Finocchiaro,Anna Maria Gherardi,Lucia Sardo,5.9
Rodrigue Jean,Suzie LeBlanc,Patrick Goyette,Ginette Morin,Marilou Longpré Pilon,6.4
Anthony Adams,Angel Boris Reed,Michael McLafferty,Mark Collie,Neil Dickson,4.7
Jim (III) Doyle,Ron Moody,Lesley Joseph,Tom Watt,Jeremy Edwards,5.9
Nikos Pastras,Katia Goulioni,Kora Karvouni,Maria Eglezaki,Athina Kotsianouli,7.1
Yasujirô Ozu,Tatsuo Saitô,Mitsuko Yoshikawa,Tomio Aoki,Mitsuko chimura,5.5
Dana Schroeder,Dave Vescio,Nick Mancuso,Zadran Wali,Andy Gates,5.2
Chase (II) Conner,Brandon V Alexander,Danny Bellini,Luis Burbano,Chase Conner,8.7
Michael Jorgensen,Jeremy Schwab,Richard George,Blake Franson,Craig Boarini,8.0
JiWon Shin,Gabrielle Houeix,Andre Carter,Philippe Houeix,Nathalie Doucet,8.3
Fredrik von Krusenstjerna,Hans Canjé,ngo Hasselbach,Kurt Goldstein,Jens Pfannschmidt,6.6
Yasujirô Ozu,Tatsuo Saitô,Fumiko Okamura,Soichi Kunijima,Shichiro Sugano,7.6
Kazuo Kuroki,Jun Hamamura,Yoshio Harada,Yûdai shiyama,Kôjirô Kusanagi,7.3
Daisuke Yamaoka,Makiko Watanabe,Hiroshi Yamaoka,Mayumi Watanabe,Takashi Hayakawa,4.8
Beth Alspaugh,Greg Bronson,Joe Flowers,Cade Frankson,Matthew Rosin,8.4
Anthony Duva,Christine Girouad,Anthony Duva,Bridget Eden,Lisa Barca,4.4
James Cameron,Leonardo DiCaprio,Kate Winslet,Billy Zane,Kathy Bates,7.7
Roy Ward Baker,Kenneth More,Ronald Allen,Robert Ayres,Honor Blackman,7.9
Jean Negulesco,Clifton Webb,Barbara Stanwyck,Robert Wagner,Audrey Dalton,7.3
Werner Klingler,Sybille Schmitz,Hans Nielsen,Kirsten Heiberg,Ernst Fritz Fürbringer,6.4
Pier Angelo Mazzolotti,Mario Bonnard,Giovanni Casaleggio,Pierino Chiesa,Luigi Duse,5.7
Allan Dwan,George O'Brien,Virginia Valli,J. Farrell MacDonald,Dore Davidson,7.7
Ewald André Dupont,Fritz Kortner,Elsa Wagner,Heinrich Schroth,Julia Serda,6.4
Lutz Büscher,Hans Korte,Volkert Kraeft,Arthur Brauss,Sigmar Solbach,6.7
Kevin Lincoln,Pete Meads,Kevin Lincoln,John V Duggan,Eliza V Jones,5.7
Shane Van Dyke,Shane Van Dyke,Marie Westbrook,Bruce Davison,Brooke Burns,1.6
Nino D'Angelo,Nino D'Angelo,Sabina Began,Giacomo Rizzo,Mauro Di Francesco,4.5
Karen Dior,Janis Jones,Brent Cross,James Perry,Sharon Kane,5.5
James David Walley,Elizabeth Ammann,Will Sexton,Brian Stampfl,J. Maki,4.1
Nick Siegenthaler,Ryan X Lee,Richard C. Jones,Daniel Hershberger,Rommel Sulit,8.5
Roger Michell,Julie Walters,Ciarán Hinds,Nuala O'Neill,James Loughran,6.6
Paul Calinescu,Grigore Vasiliu-Birlic,Silvia Fulda,Kity Gheorghiu-Musatescu,Mitzura Arghezi,8.6
Oscar Chan,Lee Williams,Adolf Hitler,Steve Luckert,Andy Webb,7.2
Mitch Spinelli,Blade Baran,Tom Chapman,an Daniels,Dave Dodge,8.1
William Malone,Stan var,Wendy Schaal,Lyman Ward,Robert Jaffe,4.2
Dan Golden,Annie Sorell,Jeffrey Combs,Angus Scrimm,James Russo,2.9
Todd Portugal,Steve Oedekerk,Mary Jo Keenen,Paul Greenberg,Rob Paulsen,6.9
Vincent Sherman,Richard Burton,Robert Ryan,Martha Hyer,Jim Backus,6.4
Mardaly Sjarif,Sujiwo Tejo,Meriam Bellina,Aldo Banar,Bombom Gumbira,3.2
Armando de Boer,Fred van der Hilst,Don van Dijke,Chanella Hodge,Stef de Reuver,5.3
William (II) Hale,Harry Andrews,David Battley,Ed Bishop,Tony Caunter,6.3
Emir Kusturica,Boro Stjepanovic,Bogdan Diklic,Nada Djurevska,Zaim Muzaferija,6.3
Edith (II) Becker,Victor Garber,Bob Ballard,Steven Biel,Daniel Allen Butler,7.1
Joe Dante,Arsenio Hall,Donald F. Muhich,Monique Gabrielle,Lou Jacobi,6.1
Grethe Bøe,Edvard Løvold Gaukstad,Yngve Berven,Gard B. Eidsvold,Ruben Eliassen,5.7
Jerry Jameson,Jason Robards,Richard Jordan,David Selby,Anne Archer,4.7
Veit Harlan,Heinrich George,Kristina Soderbaum,Paul Wegener,Raimund Schelcher,7.0
